,id,id_2
0,48553740,1
1,241246724,2
2,254315320,3
3,264107390,4
4,264107691,5
5,267314474,6
6,267315345,7
7,271813303,8
8,276474902,9
9,281361239,10
10,286547439,11
11,302045073,12
12,302171973,13
13,302473945,14
14,303207540,15
15,308696835,16
16,317428329,17
17,339530251,18
18,357059431,19
19,367103951,20
20,371811938,21
21,380040874,22
22,380199493,23
23,380202725,24
24,383551103,25
25,386776792,26
26,387792400,27
27,391013475,28
28,391180767,29
29,392512380,30
30,410375809,31
31,416130760,32
32,417232563,33
33,421328735,34
34,431245952,35
35,431299397,36
36,432772912,37
37,436893990,38
38,495883888,39
39,498680874,40
40,519921378,41
41,527033465,42
42,530787073,43
43,534020591,44
44,534020592,45
45,537074530,46
46,538159522,47
47,549033787,48
48,560196733,49
49,561181501,50
50,582753955,51
51,598103300,52
52,615954940,53
53,682232893,54
54,691071779,55
55,763638337,56
56,772352280,57
57,775939140,58
58,823844709,59
59,895259355,60
60,1375337634,61
61,1421538657,62
62,1471253919,63
63,1500853555,64
64,1518406892,65
65,1639866940,66
66,1685297716,67
67,1948589745,68
68,1962058996,69
69,2266244980,70
70,2354348584,71
71,2437943980,72
72,2454878864,73
73,2470509496,74
74,2901438692,75
75,3098467663,76
76,3245334360,77
77,3288802961,78
78,3302606183,79
79,3306493403,80
80,3396318852,81
81,3418915694,82
82,3445656550,83
83,3741392546,84
84,3767279731,85
85,4023857905,86
86,4253506981,87
87,4461076612,88
88,4625687051,89
89,4858715364,90
90,4953740624,91
91,5127412877,92
92,5379390971,93
93,5825318248,94
94,6096959395,95
95,6310065821,96
96,6347654890,97
97,6369148099,98
98,6371122436,99
99,6399214625,100
100,6512005429,101
101,6680665671,102
102,6685669994,103
103,6766650052,104
104,6994152432,105
105,7178328454,106
106,7745266374,107
107,7899974042,108
108,8040515388,109
109,8568139850,110
110,8818248357,111
111,8888742984,112
112,9062393606,113
113,9139127804,114
114,9512647975,115
115,9525954007,116
116,9626932418,117
117,10236495200,118
118,10875495069,119
119,10910006403,120
120,11550138057,121
121,11663544527,122
122,12344862008,123
123,12512826096,124
124,12566554506,125
125,12583199433,126
126,12621409886,127
127,12657124901,128
128,15803442,129
129,20344182,130
130,22199522,131
131,22788329,132
132,22942361,133
133,23225269,134
134,23442035,135
135,24985307,136
136,25428058,137
137,25636424,138
138,25656474,139
139,25795164,140
140,25795196,141
141,28596077,142
142,28607584,143
143,29443312,144
144,31582988,145
145,31812626,146
146,32358150,147
147,32359112,148
148,32539181,149
149,32630677,150
150,32651959,151
151,32728817,152
152,33357608,153
153,33408339,154
154,33459330,155
155,33541951,156
156,33590548,157
157,33746344,158
158,43804408,159
159,43806053,160
160,43807862,161
161,43809727,162
162,57386795,163
163,57869520,164
164,59252690,165
165,69964612,166
166,70510705,167
167,90306823,168
168,105154475,169
169,105185633,170
170,106710883,171
171,107771908,172
172,112761000,173
173,114706720,174
174,129311114,175
175,138155262,176
176,139272923,177
177,163637928,178
178,170242327,179
179,174712152,180
180,177052132,181
181,180683128,182
182,182090184,183
183,187865631,184
184,188425732,185
185,200089381,186
186,201195209,187
187,219669957,188
188,226328494,189
189,232292226,190
190,245209100,191
191,256389473,192
192,315222503,193
193,315223345,194
194,326292601,195
195,339360513,196
196,382778656,197
197,399345980,198
198,442980016,199
199,449304526,200
200,504775784,201
201,529701908,202
202,659549418,203
203,659728828,204
204,659831222,205
205,660307239,206
206,661330555,207
207,662098193,208
208,662727127,209
209,662727263,210
210,673532722,211
211,673995480,212
212,673997323,213
213,676389093,214
214,676407275,215
215,678759778,216
216,680378895,217
217,680388211,218
218,696247479,219
219,696724486,220
220,696803995,221
221,696957668,222
222,699417491,223
223,699417492,224
224,699672302,225
225,700576251,226
226,700585293,227
227,701367401,228
228,701945852,229
229,706078541,230
230,797144718,231
231,1042084198,232
232,1147510134,233
